leaderboard_publish_date,elo_max,lag_1,lag_2,lag_4,lag_8,lag_12,roll_mean_4,roll_mean_12,roll_std_4,week_of_year,week_sin,week_cos,t
2025-01-19,1351.7960289907044,1351.6329738660747,1351.6329738660747,1334.6170735724131,1333.5611914843353,1336.8377171483123,1343.125023719244,1337.2792764963576,9.824134615050795,3,0.3546048870425356,0.9350162426854148,88
2025-01-26,1356.9995558195956,1351.7960289907044,1351.6329738660747,1334.6170735724131,1333.9123140758843,1335.1365547953826,1347.4197625738168,1338.5258024832237,8.535472105762269,4,0.4647231720437685,0.8854560256532099,89
2025-02-02,1357.653476112198,1356.9995558195956,1351.7960289907044,1351.6329738660747,1334.3300505781508,1334.0460294036152,1353.0153831356124,1340.3477192352414,2.657227081224108,5,0.5680647467311558,0.8229838658936564,90
2025-02-09,1361.0206060335531,1357.653476112198,1356.9995558195956,1351.6329738660747,1333.9512321543066,1333.0761334393285,1354.5205086971432,1342.3150064609565,3.251758833340525,6,0.6631226582407952,0.7485107481711011,91
2025-02-16,1361.4525375245998,1361.0206060335531,1357.653476112198,1351.7960289907044,1334.6170735724131,1333.5611914843353,1356.8674167390127,1344.643712510475,3.8124054123707807,7,0.7485107481711011,0.6631226582407953,92
2025-02-23,1361.8593855228855,1361.4525375245998,1361.0206060335531,1356.9995558195956,1334.6170735724131,1333.9123140758843,1359.2815438724865,1346.9679913471641,2.2800310482718507,8,0.8229838658936564,0.5680647467311559,93
2025-03-02,1362.6585823066584,1361.8593855228855,1361.4525375245998,1357.653476112198,1351.6329738660747,1334.3300505781508,1360.496501298309,1349.2969139677473,1.9260440162847043,9,0.8854560256532099,0.4647231720437686,94
2025-03-09,1411.5470385735089,1362.6585823066584,1361.8593855228855,1361.0206060335531,1351.6329738660747,1333.9512321543066,1361.7477778469242,1351.657624945123,0.6971290486324446,10,0.9350162426854148,0.35460488704253557,95
2025-03-16,1405.9700620095723,1411.5470385735089,1362.6585823066584,1361.4525375245998,1351.7960289907044,1334.6170735724131,1374.3793859819132,1358.1239421467233,24.78349894920568,11,0.970941817426052,0.23931566428755804,96
2025-03-23,1404.0372650160534,1405.9700620095723,1411.5470385735089,1361.8593855228855,1356.9995558195956,1334.6170735724131,1385.508767103156,1364.0700245164865,26.944884268783827,12,0.992708874098054,0.120536680255323,97
2025-03-30,1405.897310370929,1404.0372650160534,1405.9700620095723,1362.6585823066584,1357.653476112198,1351.6329738660747,1396.0532369764483,1369.8550404701234,22.489619612303947,13,1.0,-1.6081226496766366e-16,98
2025-04-06,1409.7691769032017,1405.897310370929,1404.0372650160534,1411.5470385735089,1361.0206060335531,1351.6329738660747,1406.862918992516,1374.3770685121945,3.2483272744488967,14,0.992708874098054,-0.12053668025532288,99
2025-04-13,1406.04503075013,1409.7691769032017,1405.897310370929,1405.9700620095723,1361.4525375245998,1351.7960289907044,1406.4184535749391,1379.2217520986217,2.4062454163060694,15,0.9709418174260521,-0.2393156642875575,100
2025-04-20,1406.5266843115137,1406.04503075013,1409.7691769032017,1404.0372650160534,1361.8593855228855,1356.9995558195956,1406.4371957600788,1383.7425022452405,2.40187673446293,16,0.9350162426854148,-0.35460488704253545,101
2025-04-27,1418.0693857752522,1406.5266843115137,1406.04503075013,1405.897310370929,1362.6585823066584,1357.653476112198,1407.0595505839437,1387.8697629529004,1.8262962574776078,17,0.8854560256532099,-0.4647231720437685,102
2025-05-04,1418.0693857752522,1418.0693857752522,1406.5266843115137,1409.7691769032017,1411.5470385735089,1361.0206060335531,1410.1025694350244,1392.9044220914882,5.562729778778243,18,0.8229838658936565,-0.5680647467311557,103
2025-05-11,1413.0599445397784,1418.0693857752522,1418.0693857752522,1406.04503075013,1405.9700620095723,1361.4525375245998,1412.177621653037,1397.6584870699633,6.806064280327335,19,0.7485107481711013,-0.663122658240795,104
2025-05-18,1413.0599445397784,1413.0599445397784,1418.0693857752522,1406.5266843115137,1404.0372650160534,1361.8593855228855,1413.931350100449,1401.9591043212279,5.472205575720532,20,0.6631226582407952,-0.7485107481711012,105
2025-05-25,1409.263549088233,1413.0599445397784,1413.0599445397784,1418.0693857752522,1405.897310370929,1362.6585823066584,1415.5646651575153,1406.2258175726358,2.892202245787652,21,0.5680647467311558,-0.8229838658936564,106
2025-06-01,1419.461325800532,1409.263549088233,1413.0599445397784,1418.0693857752522,1409.7691769032017,1411.5470385735089,1413.3632059857605,1410.1095648044336,3.6119823688044574,22,0.46472317204376906,-0.8854560256532096,107
2025-06-08,1420.2369417333446,1419.461325800532,1409.263549088233,1413.0599445397784,1406.04503075013,1405.9700620095723,1413.7111909920804,1410.7690887400188,4.230595415283626,23,0.35460488704253584,-0.9350162426854147,108
